tanggal_id,tanggal,deskripsi_tanggal_lengkap,hari_dalam_minggu,nomor_hari_dalam_bulan,nomor_hari_dalam_tahun,nomor_hari_dalam_bulan_fiskal,nomor_hari_dalam_tahun_fiskal,indikator_hari_terakhir_dalam_bulan,tanggal_akhir_minggu_kalender,nomor_minggu_dalam_tahun_kalender,nama_bulan_kalender,nomor_bulan_dalam_tahun_kalender,tahun_bulan_kalender,kuartal_kalender,tahun_kuartal_kalender,tahun_kalender,minggu_fiskal,nomor_minggu_dalam_tahun_fiskal,bulan_fiskal,nomor_bulan_dalam_tahun_fiskal,tahun_bulan_fiskal,kuartal_fiskal,tahun_kuartal_fiskal,setengah_tahun_fiskal,tahun_fiskal,indikator_hari_libur,indikator_hari_kerja,cap_waktu_sql
20240210,2/10/2024,"Februari 10, 2024",Sabtu,10,41,41,41,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-02-10
20240211,2/11/2024,"Februari 11, 2024",Minggu,11,42,42,42,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-02-11
20240212,2/12/2024,"Februari 12, 2024",Senin,12,43,43,43,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-12
20240213,2/13/2024,"Februari 13, 2024",Selasa,13,44,44,44,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-13
20240214,2/14/2024,"Februari 14, 2024",Rabu,14,45,45,45,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-14
20240215,2/15/2024,"Februari 15, 2024",Kamis,15,46,46,46,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-15
20240216,2/16/2024,"Februari 16, 2024",Jumat,16,47,47,47,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-16
20240217,2/17/2024,"Februari 17, 2024",Sabtu,17,48,48,48,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-02-17
20240218,2/18/2024,"Februari 18, 2024",Minggu,18,49,49,49,FALSE,2/18/2024,7,Februari,2,2024-02,Q1,2024-Q1,2024,FW07,7,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-02-18
20240219,2/19/2024,"Februari 19, 2024",Senin,19,50,50,50,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-19
20240220,2/20/2024,"Februari 20, 2024",Selasa,20,51,51,51,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-20
20240221,2/21/2024,"Februari 21, 2024",Rabu,21,52,52,52,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-21
20240222,2/22/2024,"Februari 22, 2024",Kamis,22,53,53,53,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-22
20240223,2/23/2024,"Februari 23, 2024",Jumat,23,54,54,54,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-23
20240224,2/24/2024,"Februari 24, 2024",Sabtu,24,55,55,55,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-02-24
20240225,2/25/2024,"Februari 25, 2024",Minggu,25,56,56,56,FALSE,2/25/2024,8,Februari,2,2024-02,Q1,2024-Q1,2024,FW08,8,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-02-25
20240226,2/26/2024,"Februari 26, 2024",Senin,26,57,57,57,FALSE,3/3/2024,9,Februari,2,2024-02,Q1,2024-Q1,2024,FW09,9,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-26
20240227,2/27/2024,"Februari 27, 2024",Selasa,27,58,58,58,FALSE,3/3/2024,9,Februari,2,2024-02,Q1,2024-Q1,2024,FW09,9,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-27
20240228,2/28/2024,"Februari 28, 2024",Rabu,28,59,59,59,FALSE,3/3/2024,9,Februari,2,2024-02,Q1,2024-Q1,2024,FW09,9,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-28
20240229,2/29/2024,"Februari 29, 2024",Kamis,29,60,60,60,TRUE,3/3/2024,9,Februari,2,2024-02,Q1,2024-Q1,2024,FW09,9,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-29
20240301,3/1/2024,"Maret 1, 2024",Jumat,1,61,61,61,FALSE,3/3/2024,9,Maret,3,2024-03,Q1,2024-Q1,2024,FW09,9,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-01
20240302,3/2/2024,"Maret 2, 2024",Sabtu,2,62,62,62,FALSE,3/3/2024,9,Maret,3,2024-03,Q1,2024-Q1,2024,FW09,9,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-03-02
20240303,3/3/2024,"Maret 3, 2024",Minggu,3,63,63,63,FALSE,3/3/2024,9,Maret,3,2024-03,Q1,2024-Q1,2024,FW09,9,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-03-03
20240304,3/4/2024,"Maret 4, 2024",Senin,4,64,64,64,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-04
20240305,3/5/2024,"Maret 5, 2024",Selasa,5,65,65,65,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-05
20240306,3/6/2024,"Maret 6, 2024",Rabu,6,66,66,66,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-06
20240307,3/7/2024,"Maret 7, 2024",Kamis,7,67,67,67,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-07
20240308,3/8/2024,"Maret 8, 2024",Jumat,8,68,68,68,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-08
20240309,3/9/2024,"Maret 9, 2024",Sabtu,9,69,69,69,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-03-09
20240310,3/10/2024,"Maret 10, 2024",Minggu,10,70,70,70,FALSE,3/10/2024,10,Maret,3,2024-03,Q1,2024-Q1,2024,FW10,10,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-03-10
20240311,3/11/2024,"Maret 11, 2024",Senin,11,71,71,71,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,TRUE,2024-03-11
20240312,3/12/2024,"Maret 12, 2024",Selasa,12,72,72,72,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,TRUE,2024-03-12
20240313,3/13/2024,"Maret 13, 2024",Rabu,13,73,73,73,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-13
20240314,3/14/2024,"Maret 14, 2024",Kamis,14,74,74,74,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-14
20240315,3/15/2024,"Maret 15, 2024",Jumat,15,75,75,75,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-15
20240316,3/16/2024,"Maret 16, 2024",Sabtu,16,76,76,76,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-03-16
20240317,3/17/2024,"Maret 17, 2024",Minggu,17,77,77,77,FALSE,3/17/2024,11,Maret,3,2024-03,Q1,2024-Q1,2024,FW11,11,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-03-17
20240318,3/18/2024,"Maret 18, 2024",Senin,18,78,78,78,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-18
20240319,3/19/2024,"Maret 19, 2024",Selasa,19,79,79,79,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-19
20240320,3/20/2024,"Maret 20, 2024",Rabu,20,80,80,80,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-20
20240321,3/21/2024,"Maret 21, 2024",Kamis,21,81,81,81,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-21
20240322,3/22/2024,"Maret 22, 2024",Jumat,22,82,82,82,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-22
20240323,3/23/2024,"Maret 23, 2024",Sabtu,23,83,83,83,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-03-23
20240324,3/24/2024,"Maret 24, 2024",Minggu,24,84,84,84,FALSE,3/24/2024,12,Maret,3,2024-03,Q1,2024-Q1,2024,FW12,12,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-03-24
20240325,3/25/2024,"Maret 25, 2024",Senin,25,85,85,85,FALSE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-25
20240326,3/26/2024,"Maret 26, 2024",Selasa,26,86,86,86,FALSE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-26
20240327,3/27/2024,"Maret 27, 2024",Rabu,27,87,87,87,FALSE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-27
20240328,3/28/2024,"Maret 28, 2024",Kamis,28,88,88,88,FALSE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-03-28
20240329,3/29/2024,"Maret 29, 2024",Jumat,29,89,89,89,FALSE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,TRUE,2024-03-29
20240330,3/30/2024,"Maret 30, 2024",Sabtu,30,90,90,90,FALSE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-03-30
20240331,3/31/2024,"Maret 31, 2024",Minggu,31,91,91,91,TRUE,3/31/2024,13,Maret,3,2024-03,Q1,2024-Q1,2024,FW13,13,FM03,3,FY2024-FM03,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-03-31
20240401,4/1/2024,"April 1, 2024",Senin,1,92,92,92,FALSE,4/7/2024,14,April,4,2024-04,Q2,2024-Q2,2024,FW14,14,FM04,4,FY2024-FM04,FQ2,FY2024-Q2,FY2024-H1,FY2024,FALSE,TRUE,2024-04-01
20240402,4/2/2024,"April 2, 2024",Selasa,2,93,93,93,FALSE,4/7/2024,14,April,4,2024-04,Q2,2024-Q2,2024,FW14,14,FM04,4,FY2024-FM04,FQ2,FY2024-Q2,FY2024-H1,FY2024,FALSE,TRUE,2024-04-02
20240403,4/3/2024,"April 3, 2024",Rabu,3,94,94,94,FALSE,4/7/2024,14,April,4,2024-04,Q2,2024-Q2,2024,FW14,14,FM04,4,FY2024-FM04,FQ2,FY2024-Q2,FY2024-H1,FY2024,FALSE,TRUE,2024-04-03
20240404,4/4/2024,"April 4, 2024",Kamis,4,95,95,95,FALSE,4/7/2024,14,April,4,2024-04,Q2,2024-Q2,2024,FW14,14,FM04,4,FY2024-FM04,FQ2,FY2024-Q2,FY2024-H1,FY2024,FALSE,TRUE,2024-04-04
